extreme,rank,metric_key,metric_label,codebase_id,codebase_name,programming_language,version_id,version_number,sample_number,metric_level,file_path,function_name,function_start_line,function_end_line,value
min,1,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,dc631c79-3f50-44bb-a85b-e62068c697ae,2,2,file,lib/bap_disasm/bap_llvm.mli,,,,0
min,2,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,dc631c79-3f50-44bb-a85b-e62068c697ae,2,2,file,src/byteweight_main.mli,,,,0
min,3,lines_of_code,Lines Of Code/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,43ea5eea-5748-4cd1-90e1-b6d0c626cde4,2,2,file,drivers/yandex/util.go,,,,1
min,4,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,dc631c79-3f50-44bb-a85b-e62068c697ae,2,2,file,lib/bap/bap_load_plugins.mli,,,,1
min,5,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,dc631c79-3f50-44bb-a85b-e62068c697ae,2,2,file,lib_test/bap_image/test_image.mli,,,,1
max,1,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,dc631c79-3f50-44bb-a85b-e62068c697ae,2,2,file,lib/bap/bap.mli,,,,9128
max,2,lines_of_code,Lines Of Code/File,72c58468-aa18-4e1f-a564-d247686d83a5,nektos__act (sample analysis: 10 samples),Golang,1e32e6ab-33d6-4d89-9846-7da8542e66c8,2,2,file,vendor/golang.org/x/text/unicode/norm/tables10.0.0.go,,,,7657
max,3,lines_of_code,Lines Of Code/File,fe280555-02ee-426f-bc9f-f74fdf273723,FiloSottile__mkcert (sample analysis: 10 samples),Golang,84cd5fb3-b43e-4fe1-a3a5-c022efb3c77c,2,2,file,vendor/golang.org/x/text/unicode/norm/tables10.0.0.go,,,,7653
max,4,lines_of_code,Lines Of Code/File,72c58468-aa18-4e1f-a564-d247686d83a5,nektos__act (sample analysis: 10 samples),Golang,1e32e6ab-33d6-4d89-9846-7da8542e66c8,2,2,file,vendor/golang.org/x/text/unicode/norm/tables9.0.0.go,,,,7637
max,5,lines_of_code,Lines Of Code/File,fe280555-02ee-426f-bc9f-f74fdf273723,FiloSottile__mkcert (sample analysis: 10 samples),Golang,84cd5fb3-b43e-4fe1-a3a5-c022efb3c77c,2,2,file,vendor/golang.org/x/text/unicode/norm/tables9.0.0.go,,,,7633
min,1,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,72c58468-aa18-4e1f-a564-d247686d83a5,nektos__act (sample analysis: 10 samples),Golang,1e32e6ab-33d6-4d89-9846-7da8542e66c8,2,2,file,vendor/github.com/davecgh/go-spew/spew/doc.go,,,,0
min,2,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,72c58468-aa18-4e1f-a564-d247686d83a5,nektos__act (sample analysis: 10 samples),Golang,1e32e6ab-33d6-4d89-9846-7da8542e66c8,2,2,file,vendor/github.com/sirupsen/logrus/doc.go,,,,0
min,3,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,72c58468-aa18-4e1f-a564-d247686d83a5,nektos__act (sample analysis: 10 samples),Golang,1e32e6ab-33d6-4d89-9846-7da8542e66c8,2,2,file,vendor/golang.org/x/crypto/ssh/doc.go,,,,0
min,4,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,72c58468-aa18-4e1f-a564-d247686d83a5,nektos__act (sample analysis: 10 samples),Golang,1e32e6ab-33d6-4d89-9846-7da8542e66c8,2,2,file,vendor/gopkg.in/src-d/go-git.v4/plumbing/protocol/packp/doc.go,,,,0
min,5,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,72c58468-aa18-4e1f-a564-d247686d83a5,nektos__act (sample analysis: 10 samples),Golang,1e32e6ab-33d6-4d89-9846-7da8542e66c8,2,2,file,vendor/gopkg.in/src-d/go-git.v4/utils/merkletrie/doc.go,,,,0
max,1,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,72c58468-aa18-4e1f-a564-d247686d83a5,nektos__act (sample analysis: 10 samples),Golang,1e32e6ab-33d6-4d89-9846-7da8542e66c8,2,2,file,vendor/golang.org/x/text/unicode/norm/tables10.0.0.go,,,,6789
max,2,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,fe280555-02ee-426f-bc9f-f74fdf273723,FiloSottile__mkcert (sample analysis: 10 samples),Golang,84cd5fb3-b43e-4fe1-a3a5-c022efb3c77c,2,2,file,vendor/golang.org/x/text/unicode/norm/tables10.0.0.go,,,,6786
max,3,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,72c58468-aa18-4e1f-a564-d247686d83a5,nektos__act (sample analysis: 10 samples),Golang,1e32e6ab-33d6-4d89-9846-7da8542e66c8,2,2,file,vendor/golang.org/x/text/unicode/norm/tables9.0.0.go,,,,6777
max,4,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,fe280555-02ee-426f-bc9f-f74fdf273723,FiloSottile__mkcert (sample analysis: 10 samples),Golang,84cd5fb3-b43e-4fe1-a3a5-c022efb3c77c,2,2,file,vendor/golang.org/x/text/unicode/norm/tables9.0.0.go,,,,6774
