extreme,rank,metric_key,metric_label,codebase_id,codebase_name,programming_language,version_id,version_number,sample_number,metric_level,file_path,function_name,function_start_line,function_end_line,value
min,1,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap_api/bap_api_attr.ml,,,,0
min,2,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap_api/bap_api_attr.mli,,,,0
min,3,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,plugins/beagle/beagle_main.mli,,,,0
min,4,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,plugins/cxxfilt/cxxfilt_main.mli,,,,0
min,5,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,plugins/elf_loader/elf_loader_main.mli,,,,0
max,1,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap/bap.mli,,,,8863
max,2,lines_of_code,Lines Of Code/File,e9d92337-e257-41dd-9d58-bc6f84121654,astrada__google-drive-ocamlfuse (sample analysis: 10 samples),Ocaml,f18b7906-9dcd-4c09-a157-784056f756f3,4,4,file,setup.ml,,,,7451
max,3,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,46a965ea-d469-428d-9ee7-2c79b463b087,4,4,file,src/strings.ml,,,,4390
max,4,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,46a965ea-d469-428d-9ee7-2c79b463b087,4,4,file,src/uigtk2.ml,,,,4300
max,5,lines_of_code,Lines Of Code/File,e749ce64-7ffd-4d8c-a44a-47ef93013510,airbus-seclab__bincat (sample analysis: 10 samples),Ocaml,e8be65c6-7d48-47e0-b835-ccf1d93b9959,4,4,file,ocaml/src/disassembly/x86.ml,,,,2682
min,1,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,e8c37d0d-f999-4ab0-9696-770ba31bbe18,gin-gonic__gin (sample analysis: 10 samples),Golang,287da131-528e-476d-b496-919b16e74949,4,4,file,doc.go,,,,0
min,2,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap/bap_load_plugins.mli,,,,0
min,3,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap_api/bap_api_attr.ml,,,,0
min,4,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap_api/bap_api_attr.mli,,,,0
min,5,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap_language/bap_language.mli,,,,0
max,1,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,e9d92337-e257-41dd-9d58-bc6f84121654,astrada__google-drive-ocamlfuse (sample analysis: 10 samples),Ocaml,f18b7906-9dcd-4c09-a157-784056f756f3,4,4,file,setup.ml,,,,5981
max,2,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,46a965ea-d469-428d-9ee7-2c79b463b087,4,4,file,src/strings.ml,,,,4386
max,3,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,46a965ea-d469-428d-9ee7-2c79b463b087,4,4,file,src/uigtk2.ml,,,,3515
max,4,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,e9d92337-e257-41dd-9d58-bc6f84121654,astrada__google-drive-ocamlfuse (sample analysis: 10 samples),Ocaml,f18b7906-9dcd-4c09-a157-784056f756f3,4,4,file,src/drive.ml,,,,2125
max,5,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,e749ce64-7ffd-4d8c-a44a-47ef93013510,airbus-seclab__bincat (sample analysis: 10 samples),Ocaml,e8be65c6-7d48-47e0-b835-ccf1d93b9959,4,4,file,ocaml/src/disassembly/x86.ml,,,,2097
min,1,effective_lines_of_code,Effective LOC/File,e8c37d0d-f999-4ab0-9696-770ba31bbe18,gin-gonic__gin (sample analysis: 10 samples),Golang,287da131-528e-476d-b496-919b16e74949,4,4,file,doc.go,,,,0
min,2,effective_lines_of_code,Effective LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap/bap_load_plugins.mli,,,,0
min,3,effective_lines_of_code,Effective LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap_api/bap_api_attr.ml,,,,0
min,4,effective_lines_of_code,Effective LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap_api/bap_api_attr.mli,,,,0
min,5,effective_lines_of_code,Effective LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap_language/bap_language.mli,,,,0
max,1,effective_lines_of_code,Effective LOC/File,e9d92337-e257-41dd-9d58-bc6f84121654,astrada__google-drive-ocamlfuse (sample analysis: 10 samples),Ocaml,f18b7906-9dcd-4c09-a157-784056f756f3,4,4,file,setup.ml,,,,5804
max,2,effective_lines_of_code,Effective LOC/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,46a965ea-d469-428d-9ee7-2c79b463b087,4,4,file,src/strings.ml,,,,4386
max,3,effective_lines_of_code,Effective LOC/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,46a965ea-d469-428d-9ee7-2c79b463b087,4,4,file,src/uigtk2.ml,,,,3515
max,4,effective_lines_of_code,Effective LOC/File,e9d92337-e257-41dd-9d58-bc6f84121654,astrada__google-drive-ocamlfuse (sample analysis: 10 samples),Ocaml,f18b7906-9dcd-4c09-a157-784056f756f3,4,4,file,src/drive.ml,,,,2107
max,5,effective_lines_of_code,Effective LOC/File,e749ce64-7ffd-4d8c-a44a-47ef93013510,airbus-seclab__bincat (sample analysis: 10 samples),Ocaml,e8be65c6-7d48-47e0-b835-ccf1d93b9959,4,4,file,ocaml/src/disassembly/x86.ml,,,,2054
min,1,comment_lines_of_code,Comment LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,c9009897-fb00-4444-ab78-d1806d44d7ad,4,4,file,cmd/common.go,,,,0
min,2,comment_lines_of_code,Comment LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,c9009897-fb00-4444-ab78-d1806d44d7ad,4,4,file,cmd/flags/config.go,,,,0
min,3,comment_lines_of_code,Comment LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,c9009897-fb00-4444-ab78-d1806d44d7ad,4,4,file,cmd/root.go,,,,0
min,4,comment_lines_of_code,Comment LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,c9009897-fb00-4444-ab78-d1806d44d7ad,4,4,file,drivers/115/meta.go,,,,0
min,5,comment_lines_of_code,Comment LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,c9009897-fb00-4444-ab78-d1806d44d7ad,4,4,file,drivers/115/types.go,,,,0
max,1,comment_lines_of_code,Comment LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap/bap.mli,,,,5139
max,2,comment_lines_of_code,Comment LOC/File,27c2b119-0bb1-44ad-8d53-458f0cca57e7,camlworks__dream (sample analysis: 10 samples),Ocaml,8813f0fe-730c-484a-b74c-278d91359bbc,4,4,file,src/dream.mli,,,,1769
max,3,comment_lines_of_code,Comment LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/bap_primus/bap_primus.mli,,,,1696
max,4,comment_lines_of_code,Comment LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/monads/monads.mli,,,,1016
max,5,comment_lines_of_code,Comment LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,3bafefb5-9460-432f-b5bd-3dfc76c11e6c,4,4,file,lib/graphlib/graphlib.mli,,,,996
min,1,bracket_lines_of_code,Bracket LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,c9009897-fb00-4444-ab78-d1806d44d7ad,4,4,file,drivers/alias/types.go,,,,0
min,2,bracket_lines_of_code,Bracket LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,c9009897-fb00-4444-ab78-d1806d44d7ad,4,4,file,drivers/alist_v2/util.go,,,,0
min,3,bracket_lines_of_code,Bracket LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,c9009897-fb00-4444-ab78-d1806d44d7ad,4,4,file,drivers/baidu_share/types.go,,,,0
min,4,bracket_lines_of_code,Bracket LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,c9009897-fb00-4444-ab78-d1806d44d7ad,4,4,file,drivers/baidu_share/util.go,,,,0
min,5,bracket_lines_of_code,Bracket LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,c9009897-fb00-4444-ab78-d1806d44d7ad,4,4,file,drivers/ftp/types.go,,,,0
max,1,bracket_lines_of_code,Bracket LOC/File,9539fa79-4e99-4b7c-8679-62b23d3abedd,go-gorm__gorm (sample analysis: 10 samples),Golang,34c8e6b2-ad40-40e8-8eff-ca267d4c76e2,4,4,file,preload_test.go,,,,330
max,2,bracket_lines_of_code,Bracket LOC/File,3e629e34-e52d-445d-9487-cfbcb29d77e8,junegunn__fzf (sample analysis: 10 samples),Golang,492cc07b-9300-497c-8968-c324615a66fb,4,4,file,src/terminal.go,,,,307
max,3,bracket_lines_of_code,Bracket LOC/File,9539fa79-4e99-4b7c-8679-62b23d3abedd,go-gorm__gorm (sample analysis: 10 samples),Golang,34c8e6b2-ad40-40e8-8eff-ca267d4c76e2,4,4,file,scope.go,,,,296
max,4,bracket_lines_of_code,Bracket LOC/File,24cc32f1-80f1-40da-9ad5-e2285210d73d,router-for-me__CLIProxyAPI (sample analysis: 10 samples),Golang,b2df923c-1801-45d4-9a9d-1b12ebdbc0d4,4,4,file,internal/api/handlers/management/auth_files.go,,,,271
