extreme,rank,metric_key,metric_label,codebase_id,codebase_name,programming_language,version_id,version_number,sample_number,metric_level,file_path,function_name,function_start_line,function_end_line,value
min,1,lines_of_code,Lines Of Code/File,27c2b119-0bb1-44ad-8d53-458f0cca57e7,camlworks__dream (sample analysis: 10 samples),Ocaml,804e7f29-6454-47b6-acd8-efbceb714b09,1,1,file,src/fw/utf8.mli,,,,1
min,2,lines_of_code,Lines Of Code/File,27c2b119-0bb1-44ad-8d53-458f0cca57e7,camlworks__dream (sample analysis: 10 samples),Ocaml,804e7f29-6454-47b6-acd8-efbceb714b09,1,1,file,test/main.ml,,,,2
min,3,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,f7904710-38c9-481c-9ddd-3986daedf8af,1,1,file,src/lwt/example/editor.ml,,,,3
min,4,lines_of_code,Lines Of Code/File,27c2b119-0bb1-44ad-8d53-458f0cca57e7,camlworks__dream (sample analysis: 10 samples),Ocaml,804e7f29-6454-47b6-acd8-efbceb714b09,1,1,file,src/fw/type.ml,,,,4
min,5,lines_of_code,Lines Of Code/File,fe280555-02ee-426f-bc9f-f74fdf273723,FiloSottile__mkcert (sample analysis: 10 samples),Golang,e99344ec-23a3-4bcd-9b54-1af160f8d98c,1,1,file,vendor/github.com/DHowett/go-plist/doc.go,,,,5
max,1,lines_of_code,Lines Of Code/File,e9d92337-e257-41dd-9d58-bc6f84121654,astrada__google-drive-ocamlfuse (sample analysis: 10 samples),Ocaml,5af22e0c-1c0f-41c9-b418-cb357538cd10,1,1,file,setup.ml,,,,5023
max,2,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,f7904710-38c9-481c-9ddd-3986daedf8af,1,1,file,src/strings.ml,,,,3453
max,3,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,f7904710-38c9-481c-9ddd-3986daedf8af,1,1,file,src/uigtk2.ml,,,,2266
max,4,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,f7904710-38c9-481c-9ddd-3986daedf8af,1,1,file,src/uigtk.ml,,,,2153
max,5,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,f7904710-38c9-481c-9ddd-3986daedf8af,1,1,file,src/update.ml,,,,2067
min,1,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,f7904710-38c9-481c-9ddd-3986daedf8af,1,1,file,src/ubase/uprintf.mli,,,,0
min,2,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,fe280555-02ee-426f-bc9f-f74fdf273723,FiloSottile__mkcert (sample analysis: 10 samples),Golang,e99344ec-23a3-4bcd-9b54-1af160f8d98c,1,1,file,vendor/github.com/DHowett/go-plist/doc.go,,,,1
min,3,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,f7904710-38c9-481c-9ddd-3986daedf8af,1,1,file,src/linkgtk.ml,,,,1
