extreme,rank,metric_key,metric_label,codebase_id,codebase_name,programming_language,version_id,version_number,sample_number,metric_level,file_path,function_name,function_start_line,function_end_line,value
min,1,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,lib/bap/bap_init_toplevel.mli,,,,0
min,2,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,lib_test/bap/run_tests.mli,,,,0
min,3,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,plugins/beagle/beagle_main.mli,,,,0
min,4,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,plugins/cxxfilt/cxxfilt_main.mli,,,,0
min,5,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,plugins/dependencies/dependencies_main.mli,,,,0
max,1,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,lib/bap/bap.mli,,,,11772
max,2,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,lib/bap_core_theory/bap_core_theory.mli,,,,4720
max,3,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,f6b73c82-a970-40e9-8f97-92ab80bc7aa6,8,8,file,src/strings.ml,,,,4715
max,4,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,lib/bap_primus/bap_primus.mli,,,,4532
max,5,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,f6b73c82-a970-40e9-8f97-92ab80bc7aa6,8,8,file,src/uigtk2.ml,,,,4236
min,1,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,e8c37d0d-f999-4ab0-9696-770ba31bbe18,gin-gonic__gin (sample analysis: 10 samples),Golang,b376f541-e7df-4087-baa5-e7b0d61e1f05,8,8,file,doc.go,,,,0
min,2,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,lib/bap/bap_init_toplevel.mli,,,,0
min,3,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,lib/bap_c/bap_c_abi.mli,,,,0
min,4,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,lib/bap_demangle/bap_demangle.mli,,,,0
min,5,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,f1178f58-48f9-42be-811b-f86424f47fce,8,8,file,lib/bap_language/bap_language.mli,,,,0
